theta,policy,mean_value,stderr_value,activation_rate,rejection_rate,mean_stop_time
-0.38729833462074165,matched Gaussian boundary,0.02408111577424898,0.000572612393402036,0.51625,0.48375,0.9183756666666668
-0.38729833462074165,dead/alive boundary,0.022579901887687027,0.0005490907221448493,0.44315,0.55685,0.8955790000000001
-0.38729833462074165,dead/alive static payoff,0.02075326016550286,0.0006210716301797836,0.9611,0.0389,0.6679676666666667
-0.38729833462074165,dead/alive z-stat,-0.003971237021748631,1.4381696095293642e-05,0.0002,0.9998,1.9999886666666666
-0.3,matched Gaussian boundary,0.012212314822499683,0.00044727232036655877,0.4982,0.5018,0.9199350000000001
-0.3,dead/alive boundary,0.01140108420811396,0.0004272679357997333,0.42645,0.57355,0.8954193333333335
-0.3,dead/alive static payoff,0.009493044351005325,0.0004898882769003973,0.959,0.041,0.6719063333333334
-0.3,dead/alive z-stat,-0.004000000000000001,6.1333270018252544e-21,0.0,1.0,2.0
0.0,matched Gaussian boundary,-0.005601203700561875,2.966087331044414e-05,0.4713,0.5287,0.9292626666666667
0.0,dead/alive boundary,-0.005128017796849666,3.092247391225604e-05,0.39805,0.60195,0.9043376666666667
0.0,dead/alive static payoff,-0.007372820644524339,1.0991283060265172e-05,0.9527,0.0473,0.6879376666666667
0.0,dead/alive z-stat,-0.004000000000000001,6.1333270018252544e-21,0.0,1.0,2.0
0.3,matched Gaussian boundary,0.01238601505632685,0.00044643154477279763,0.49705,0.50295,0.9189973333333336
0.3,dead/alive boundary,0.011396706177699903,0.0004258783116567014,0.4259,0.5741,0.8954443333333334
0.3,dead/alive static payoff,0.010274438450948907,0.0004893912462406781,0.9595,0.0405,0.671016
0.3,dead/alive z-stat,-0.004000000000000001,6.1333270018252544e-21,0.0,1.0,2.0
0.38729833462074165,matched Gaussian boundary,0.02503143107041889,0.0005720691215501903,0.5144,0.4856,0.9156093333333334
0.38729833462074165,dead/alive boundary,0.023449341515208128,0.0005470980623375688,0.4408,0.5592,0.8940586666666668
0.38729833462074165,dead/alive static payoff,0.020664213420574264,0.0006226975726551271,0.96035,0.03965,0.6666346666666666
0.38729833462074165,dead/alive z-stat,-0.003992276362227631,7.723637772369559e-06,5e-05,0.99995,1.9999933333333335
