replication,seed,block_months,n_signals,placebo_activation_count,placebo_activation_rate,activation_gap
0,34219,12,192,97,0.5052083333333334,0.22395833333333326
1,34220,12,192,103,0.5364583333333334,0.19270833333333326
2,34221,12,192,93,0.484375,0.24479166666666663
3,34222,12,192,98,0.5104166666666666,0.21875
4,34223,12,192,95,0.4947916666666667,0.23437499999999994
5,34224,12,192,94,0.4895833333333333,0.23958333333333331
6,34225,12,192,105,0.546875,0.18229166666666663
7,34226,12,192,91,0.4739583333333333,0.2552083333333333
8,34227,12,192,99,0.515625,0.21354166666666663
9,34228,12,192,95,0.4947916666666667,0.23437499999999994
10,34229,12,192,94,0.4895833333333333,0.23958333333333331
11,34230,12,192,90,0.46875,0.26041666666666663
12,34231,12,192,97,0.5052083333333334,0.22395833333333326
13,34232,12,192,101,0.5260416666666666,0.203125
14,34233,12,192,103,0.5364583333333334,0.19270833333333326
15,34234,12,192,105,0.546875,0.18229166666666663
16,34235,12,192,92,0.4791666666666667,0.24999999999999994
17,34236,12,192,91,0.4739583333333333,0.2552083333333333
18,34237,12,192,100,0.5208333333333334,0.20833333333333326
19,34238,12,192,95,0.4947916666666667,0.23437499999999994
20,34239,12,192,98,0.5104166666666666,0.21875
21,34240,12,192,100,0.5208333333333334,0.20833333333333326
22,34241,12,192,101,0.5260416666666666,0.203125
23,34242,12,192,93,0.484375,0.24479166666666663
24,34243,12,192,99,0.515625,0.21354166666666663
25,34244,12,192,97,0.5052083333333334,0.22395833333333326
26,34245,12,192,104,0.5416666666666666,0.1875
27,34246,12,192,95,0.4947916666666667,0.23437499999999994
28,34247,12,192,94,0.4895833333333333,0.23958333333333331
29,34248,12,192,99,0.515625,0.21354166666666663
30,34249,12,192,87,0.453125,0.27604166666666663
31,34250,12,192,95,0.4947916666666667,0.23437499999999994
32,34251,12,192,97,0.5052083333333334,0.22395833333333326
33,34252,12,192,89,0.4635416666666667,0.26562499999999994
34,34253,12,192,93,0.484375,0.24479166666666663
35,34254,12,192,95,0.4947916666666667,0.23437499999999994
36,34255,12,192,104,0.5416666666666666,0.1875
37,34256,12,192,103,0.5364583333333334,0.19270833333333326
38,34257,12,192,100,0.5208333333333334,0.20833333333333326
39,34258,12,192,94,0.4895833333333333,0.23958333333333331
40,34259,12,192,94,0.4895833333333333,0.23958333333333331
41,34260,12,192,96,0.5,0.22916666666666663
42,34261,12,192,94,0.4895833333333333,0.23958333333333331
43,34262,12,192,102,0.53125,0.19791666666666663
44,34263,12,192,94,0.4895833333333333,0.23958333333333331
45,34264,12,192,94,0.4895833333333333,0.23958333333333331
46,34265,12,192,92,0.4791666666666667,0.24999999999999994
47,34266,12,192,95,0.4947916666666667,0.23437499999999994
48,34267,12,192,100,0.5208333333333334,0.20833333333333326
49,34268,12,192,91,0.4739583333333333,0.2552083333333333
50,34269,12,192,99,0.515625,0.21354166666666663
51,34270,12,192,98,0.5104166666666666,0.21875
52,34271,12,192,101,0.5260416666666666,0.203125
53,34272,12,192,81,0.421875,0.30729166666666663
54,34273,12,192,107,0.5572916666666666,0.171875
55,34274,12,192,94,0.4895833333333333,0.23958333333333331
56,34275,12,192,95,0.4947916666666667,0.23437499999999994
57,34276,12,192,100,0.5208333333333334,0.20833333333333326
58,34277,12,192,102,0.53125,0.19791666666666663
59,34278,12,192,97,0.5052083333333334,0.22395833333333326
60,34279,12,192,93,0.484375,0.24479166666666663
61,34280,12,192,104,0.5416666666666666,0.1875
62,34281,12,192,94,0.4895833333333333,0.23958333333333331
63,34282,12,192,100,0.5208333333333334,0.20833333333333326
64,34283,12,192,110,0.5729166666666666,0.15625
65,34284,12,192,88,0.4583333333333333,0.2708333333333333
66,34285,12,192,104,0.5416666666666666,0.1875
67,34286,12,192,96,0.5,0.22916666666666663
68,34287,12,192,90,0.46875,0.26041666666666663
69,34288,12,192,95,0.4947916666666667,0.23437499999999994
70,34289,12,192,91,0.4739583333333333,0.2552083333333333
71,34290,12,192,103,0.5364583333333334,0.19270833333333326
72,34291,12,192,101,0.5260416666666666,0.203125
73,34292,12,192,92,0.4791666666666667,0.24999999999999994
74,34293,12,192,88,0.4583333333333333,0.2708333333333333
75,34294,12,192,104,0.5416666666666666,0.1875
76,34295,12,192,95,0.4947916666666667,0.23437499999999994
77,34296,12,192,99,0.515625,0.21354166666666663
78,34297,12,192,102,0.53125,0.19791666666666663
79,34298,12,192,102,0.53125,0.19791666666666663
80,34299,12,192,96,0.5,0.22916666666666663
81,34300,12,192,96,0.5,0.22916666666666663
82,34301,12,192,98,0.5104166666666666,0.21875
83,34302,12,192,96,0.5,0.22916666666666663
84,34303,12,192,92,0.4791666666666667,0.24999999999999994
85,34304,12,192,95,0.4947916666666667,0.23437499999999994
86,34305,12,192,99,0.515625,0.21354166666666663
87,34306,12,192,100,0.5208333333333334,0.20833333333333326
88,34307,12,192,94,0.4895833333333333,0.23958333333333331
89,34308,12,192,103,0.5364583333333334,0.19270833333333326
90,34309,12,192,97,0.5052083333333334,0.22395833333333326
91,34310,12,192,102,0.53125,0.19791666666666663
92,34311,12,192,95,0.4947916666666667,0.23437499999999994
93,34312,12,192,93,0.484375,0.24479166666666663
94,34313,12,192,105,0.546875,0.18229166666666663
95,34314,12,192,99,0.515625,0.21354166666666663
96,34315,12,192,91,0.4739583333333333,0.2552083333333333
97,34316,12,192,96,0.5,0.22916666666666663
98,34317,12,192,98,0.5104166666666666,0.21875
99,34318,12,192,102,0.53125,0.19791666666666663
100,34319,12,192,98,0.5104166666666666,0.21875
101,34320,12,192,97,0.5052083333333334,0.22395833333333326
102,34321,12,192,100,0.5208333333333334,0.20833333333333326
103,34322,12,192,97,0.5052083333333334,0.22395833333333326
104,34323,12,192,90,0.46875,0.26041666666666663
