statistic,baseline,time_block_se,time_block_ci_low,time_block_ci_high,signal_cluster_se,signal_cluster_ci_low,signal_cluster_ci_high
mean_holdout[sequential],0.7469420188900427,0.04871256377600918,0.6528480693772072,0.8432023036724517,0.050269936332184455,0.6521696814286672,0.8504698263206721
weighted_holdout[sequential],0.5446452221073228,0.035519577753340026,0.4760350505875469,0.614835013094496,0.04346521194871619,0.45966319702165576,0.6298827051122321
mean_holdout[fixed_60],0.7054650160125978,0.0492807499386267,0.6062209082223193,0.7993409719276693,0.049522320923479336,0.6081682119445785,0.8057892131645458
weighted_holdout[fixed_60],0.49970438634225683,0.03490719787319392,0.4294064766574762,0.5661998551154325,0.04168203215705351,0.41997094938519763,0.5840770595295747
mean_holdout[fixed_120],0.6890267825712196,0.056702631921131154,0.5741882175532107,0.7988609798576513,0.05163590417597013,0.5913018813455054,0.7925149650195417
weighted_holdout[fixed_120],0.5311248115653152,0.0437082787725386,0.4426034176972666,0.6157886719736063,0.04493021349464358,0.44721318555087275,0.6218064893726534
mean_holdout[fixed_240],0.5365043834699484,0.13461530537034647,0.2842983011878274,0.813011455263709,0.051178542182214126,0.438942371356157,0.6412818364455595
weighted_holdout[fixed_240],0.44429269256105103,0.11147829975981817,0.23543453067116954,0.673275111390259,0.04472139786494951,0.36212012062316845,0.5349056636569558
diff_mean_holdout[sequential-fixed_60],0.041477002877444935,0.03618277831230551,-0.0229318325768194,0.11818873637515047,0.02240482917830783,-0.0029691203747752508,0.08504497518569328
diff_weighted_holdout[sequential-fixed_60],0.04494083576506597,0.026007644842602474,-0.001664386361329473,0.09914773878409473,0.018076664149436098,0.010787255031205168,0.08120564855803725
diff_mean_holdout[sequential-fixed_120],0.057915236318823116,0.06268921287481256,-0.0578353656455719,0.18361114183225538,0.04685848838890823,-0.03149796698071986,0.15195892694277519
diff_weighted_holdout[sequential-fixed_120],0.013520410542007588,0.0473292294047625,-0.07325977659528778,0.1072340168627166,0.03350738903235637,-0.05358852019709053,0.0788216840988266
diff_mean_holdout[sequential-fixed_240],0.2104376354200943,0.13599554041038503,-0.06818674021100768,0.46868700266144714,0.05680792913754157,0.10054208676263772,0.3268984198972277
diff_weighted_holdout[sequential-fixed_240],0.10035252954627177,0.11172165111231075,-0.12639534037960443,0.31332412020678235,0.04523780108858131,0.01463475198386465,0.1881900044794732
