replication,seed,n_signals,placebo_activation_count,placebo_activation_rate,activation_gap
0,34219,192,52,0.2708333333333333,0.4583333333333333
1,34220,192,53,0.2760416666666667,0.45312499999999994
2,34221,192,53,0.2760416666666667,0.45312499999999994
3,34222,192,54,0.28125,0.44791666666666663
4,34223,192,48,0.25,0.47916666666666663
5,34224,192,53,0.2760416666666667,0.45312499999999994
6,34225,192,56,0.2916666666666667,0.43749999999999994
7,34226,192,70,0.3645833333333333,0.3645833333333333
8,34227,192,61,0.3177083333333333,0.4114583333333333
9,34228,192,61,0.3177083333333333,0.4114583333333333
10,34229,192,61,0.3177083333333333,0.4114583333333333
11,34230,192,55,0.2864583333333333,0.4427083333333333
12,34231,192,60,0.3125,0.41666666666666663
13,34232,192,47,0.24479166666666666,0.484375
14,34233,192,66,0.34375,0.38541666666666663
15,34234,192,65,0.3385416666666667,0.39062499999999994
16,34235,192,47,0.24479166666666666,0.484375
17,34236,192,60,0.3125,0.41666666666666663
18,34237,192,58,0.3020833333333333,0.4270833333333333
19,34238,192,66,0.34375,0.38541666666666663
20,34239,192,56,0.2916666666666667,0.43749999999999994
21,34240,192,67,0.3489583333333333,0.3802083333333333
22,34241,192,54,0.28125,0.44791666666666663
23,34242,192,61,0.3177083333333333,0.4114583333333333
24,34243,192,58,0.3020833333333333,0.4270833333333333
25,34244,192,55,0.2864583333333333,0.4427083333333333
26,34245,192,63,0.328125,0.40104166666666663
27,34246,192,48,0.25,0.47916666666666663
28,34247,192,61,0.3177083333333333,0.4114583333333333
29,34248,192,61,0.3177083333333333,0.4114583333333333
30,34249,192,61,0.3177083333333333,0.4114583333333333
31,34250,192,47,0.24479166666666666,0.484375
32,34251,192,55,0.2864583333333333,0.4427083333333333
33,34252,192,63,0.328125,0.40104166666666663
34,34253,192,54,0.28125,0.44791666666666663
35,34254,192,62,0.3229166666666667,0.40624999999999994
36,34255,192,65,0.3385416666666667,0.39062499999999994
37,34256,192,56,0.2916666666666667,0.43749999999999994
38,34257,192,59,0.3072916666666667,0.42187499999999994
39,34258,192,69,0.359375,0.36979166666666663
40,34259,192,52,0.2708333333333333,0.4583333333333333
41,34260,192,60,0.3125,0.41666666666666663
42,34261,192,58,0.3020833333333333,0.4270833333333333
43,34262,192,55,0.2864583333333333,0.4427083333333333
44,34263,192,56,0.2916666666666667,0.43749999999999994
45,34264,192,57,0.296875,0.43229166666666663
46,34265,192,58,0.3020833333333333,0.4270833333333333
47,34266,192,52,0.2708333333333333,0.4583333333333333
48,34267,192,51,0.265625,0.46354166666666663
49,34268,192,65,0.3385416666666667,0.39062499999999994
50,34269,192,62,0.3229166666666667,0.40624999999999994
51,34270,192,63,0.328125,0.40104166666666663
52,34271,192,57,0.296875,0.43229166666666663
53,34272,192,63,0.328125,0.40104166666666663
54,34273,192,64,0.3333333333333333,0.3958333333333333
55,34274,192,54,0.28125,0.44791666666666663
56,34275,192,54,0.28125,0.44791666666666663
57,34276,192,52,0.2708333333333333,0.4583333333333333
58,34277,192,62,0.3229166666666667,0.40624999999999994
59,34278,192,61,0.3177083333333333,0.4114583333333333
60,34279,192,65,0.3385416666666667,0.39062499999999994
61,34280,192,60,0.3125,0.41666666666666663
62,34281,192,61,0.3177083333333333,0.4114583333333333
63,34282,192,42,0.21875,0.5104166666666666
64,34283,192,50,0.2604166666666667,0.46874999999999994
65,34284,192,55,0.2864583333333333,0.4427083333333333
66,34285,192,55,0.2864583333333333,0.4427083333333333
67,34286,192,59,0.3072916666666667,0.42187499999999994
68,34287,192,53,0.2760416666666667,0.45312499999999994
69,34288,192,57,0.296875,0.43229166666666663
70,34289,192,63,0.328125,0.40104166666666663
71,34290,192,57,0.296875,0.43229166666666663
72,34291,192,63,0.328125,0.40104166666666663
73,34292,192,58,0.3020833333333333,0.4270833333333333
74,34293,192,57,0.296875,0.43229166666666663
75,34294,192,65,0.3385416666666667,0.39062499999999994
76,34295,192,56,0.2916666666666667,0.43749999999999994
77,34296,192,55,0.2864583333333333,0.4427083333333333
78,34297,192,65,0.3385416666666667,0.39062499999999994
79,34298,192,66,0.34375,0.38541666666666663
80,34299,192,53,0.2760416666666667,0.45312499999999994
