signal,decision,stop_index,stop_date,stop_time_years,evidence_at_stop,posterior_mean_at_stop,posterior_dead_at_stop,calibration_months,validation_months,monthly_sigma,validation_increment_mean,validation_increment_variance_over_dt,validation_lag1_autocorr,holdout_months,holdout_mean_return_percent,holdout_t_stat,decision_label,first_date,last_date
AM_signflip,-1,42,1983-07-29,3.5,0.02419750017432158,0.0007437276326178396,0.7520858309629954,120,240,3.6710421996361253,0.01833408589973488,1.2871500865083843,0.001978410541239114,120,1.0230449123111218,3.4511541605315292,reject,1970-01-30,2020-12-31
AOP_signflip,1,36,1989-07-31,3.0,-3.5311163491121227,-0.14220962002454218,0.582236980258805,120,240,2.8231429493291107,-0.02513171100241632,0.9254971018832161,-0.036231097512876086,120,0.17816808553894783,0.88358784148555,activate,1976-07-30,2020-12-31
AbnormalAccruals_signflip,-1,57,1987-04-30,4.75,-0.6019794455326686,-0.020833076384977715,0.7643696813106495,120,240,1.5597379434387235,-0.006125303701522862,1.8328848794047554,0.07062396074964417,120,0.2299054016168539,1.316935062572174,reject,1972-07-31,2020-12-31
Accruals_signflip,1,95,1987-12-31,7.916666666666666,-3.576656248577051,-0.11437996420913041,0.6653147873002553,120,240,2.35279295909048,-0.01354199150191893,0.7067848869208087,0.010695430426157426,120,0.43815167778692016,2.909428532019395,activate,1970-01-30,2020-12-31
AccrualsBM_signflip,-1,47,1983-12-30,3.9166666666666665,-0.18998478481790365,-0.006538904428021117,0.7574261473095487,120,240,6.150816473098495,0.012813307127495564,0.6171342907010816,0.10494105448552855,120,1.3697573278450865,3.5400124824401678,reject,1970-01-30,2020-12-31
AdExp_signflip,-1,102,1988-07-29,8.5,-1.7789475425559436,-0.05098813990528589,0.7796973372393518,120,240,4.583600950702141,-0.0019276622172151555,0.5623544448697767,0.022658867119295795,120,0.21599013988227006,0.6813592226240167,reject,1970-01-30,2020-12-31
AgeIPO_signflip,-1,42,1994-06-30,3.5,-0.02737382149435702,-0.0007437276326178396,0.7520858309629954,120,240,3.162517940086468,-0.06987495810213135,3.458757857837769,0.27993482679551057,120,0.5643217724821764,0.8890259533568904,reject,1980-12-31,2020-12-31
AnalystRevision_signflip,-1,43,1989-10-31,3.583333333333333,-0.03386075741347666,-0.001480485985445347,0.7532325962618014,120,240,1.4075856447140414,0.027068572477217636,1.6958809905820094,0.05557187745057155,120,1.0384090730233464,7.156196762177784,reject,1976-03-31,2020-06-30
AnalystValue_signflip,-1,48,1990-07-31,4.0,0.33011929017495,0.012299945862492584,0.7574322058674094,120,240,2.2266296881975194,0.014148041987391264,4.920256579784105,-0.16957507827082136,120,-0.7221259937433739,-1.9745441904805858,reject,1976-07-30,2020-12-31
AnnouncementReturn_signflip,-1,62,1986-10-31,5.166666666666666,-0.7325172064249049,-0.025122784658717305,0.7675053243444098,120,240,2.356487880011128,-0.006146722904327021,0.8154874288599787,0.06743470242437076,120,1.443638842363196,13.312077053517074,reject,1971-08-31,2020-12-31
AssetGrowth_signflip,-1,86,1987-03-31,7.166666666666666,1.2782034993820572,0.03905928962202754,0.7801677096652034,120,240,3.172069985358876,0.0186601934090492,1.6137163083838835,0.06142309706029129,120,1.4378182075443395,4.043266339230591,reject,1970-01-30,2020-12-31
