replication,selected_eta,calibration_placebo_rate,evaluation_placebo_rate,real_activation_rate,activation_gap
0,0.03,0.3229166666666667,0.3802083333333333,0.7708333333333334,0.39062500000000006
1,0.03,0.3072916666666667,0.3958333333333333,0.7708333333333334,0.37500000000000006
2,0.04,0.3229166666666667,0.375,0.7291666666666666,0.35416666666666663
3,0.04,0.3177083333333333,0.2708333333333333,0.7291666666666666,0.4583333333333333
4,0.04,0.296875,0.2864583333333333,0.7291666666666666,0.4427083333333333
5,0.05,0.2864583333333333,0.21875,0.6927083333333334,0.47395833333333337
6,0.04,0.296875,0.2864583333333333,0.7291666666666666,0.4427083333333333
7,0.03,0.2708333333333333,0.328125,0.7708333333333334,0.44270833333333337
8,0.05,0.3229166666666667,0.3385416666666667,0.6927083333333334,0.3541666666666667
9,0.04,0.3229166666666667,0.2552083333333333,0.7291666666666666,0.4739583333333333
10,0.04,0.2760416666666667,0.3177083333333333,0.7291666666666666,0.4114583333333333
11,0.04,0.3229166666666667,0.25,0.7291666666666666,0.47916666666666663
12,0.05,0.328125,0.21875,0.6927083333333334,0.47395833333333337
13,0.04,0.2708333333333333,0.2604166666666667,0.7291666666666666,0.46874999999999994
14,0.03,0.2864583333333333,0.359375,0.7708333333333334,0.41145833333333337
15,0.04,0.2864583333333333,0.2864583333333333,0.7291666666666666,0.4427083333333333
16,0.04,0.296875,0.3854166666666667,0.7291666666666666,0.34374999999999994
17,0.03,0.328125,0.3489583333333333,0.7708333333333334,0.42187500000000006
18,0.05,0.2760416666666667,0.2604166666666667,0.6927083333333334,0.4322916666666667
19,0.04,0.3177083333333333,0.2916666666666667,0.7291666666666666,0.43749999999999994
20,0.03,0.3177083333333333,0.3802083333333333,0.7708333333333334,0.39062500000000006
21,0.05,0.28125,0.234375,0.6927083333333334,0.45833333333333337
22,0.03,0.328125,0.3645833333333333,0.7708333333333334,0.40625000000000006
23,0.03,0.3020833333333333,0.359375,0.7708333333333334,0.41145833333333337
24,0.04,0.3072916666666667,0.2916666666666667,0.7291666666666666,0.43749999999999994
